scenario,seed,k_known,n,r,sigma_x,d_max,R_task,p_lo,p_hi,F_keep_n,bb_acc,cbm_acc,cbm_mse,F_frac_best_abs_negative,F_mean_best_abs_signed,F_frac_margin_negative,E_frac_best_abs_negative,E_mean_best_abs_signed,E_frac_margin_negative,F_pair_raw_mean,F_pair_raw_max,E_pair_raw_mean,E_pair_raw_max,F_pair_soft_mean,F_pair_soft_max,F_mean_abs_Z,E_pair_soft_mean,E_pair_soft_max,E_mean_abs_Z,pair_soft_eps,S_frob_abs,S_frob_rel,Cov_frob_abs,Cov_frob_rel,Corr_frob_abs,Corr_frob_rel,n_frust_atoms_full,n_nonfrust_pool,n_atoms_matched,n_frust_atoms,C3_ridge_lam,C3_mse_frust_atoms,C3_r2_frust_atoms,C3_mse_nonfrust_atoms,C3_r2_nonfrust_atoms
0,1,2,8000,64,0.3,1.0,0.75,0.3,0.7,1191,0.8845,0.886,0.033779505640268326,0.0,0.9506959915161133,0.0,0.0,0.5239123702049255,0.0,0.0021022309083491564,0.0021022309083491564,0.04938086122274399,0.04938086122274399,0.0024882273484739966,0.0024882273484739966,0.8448699116706848,0.510138551476163,0.510138551476163,0.09679792076349258,1e-06,6.451985836029053,0.9650922464849115,0.02779441458714772,0.06861989483644017,0.10258884655969715,0.05636506403063008,1,59,1,1,0.001,0.0753790038106042,0.08970018176586014,0.08226279906675237,0.0065693727387557965
0,2,2,8000,64,0.3,1.0,0.75,0.3,0.7,1280,0.8875,0.884,0.02647593803703785,0.0,0.9351070523262024,0.0,0.0,0.47702983021736145,0.0,0.040697429329156876,0.040697429329156876,0.051516398787498474,0.051516398787498474,0.04922629072049558,0.04922629072049558,0.8267407417297363,4.5273719823645715,4.5273719823645715,0.01137787476181984,1e-06,5.794608116149902,0.9320021661529335,0.04238852101469235,0.10492550107802627,0.17477369460241957,0.09847043634029119,6,54,6,6,0.001,0.011217919915060671,0.8651208466785506,0.005116112701548328,0.938486193990785
0,3,2,8000,64,0.3,1.0,0.75,0.3,0.7,1295,0.873,0.5335,0.029932189732789993,0.5,-0.0055942535400390625,0.5,0.0,0.4234974980354309,0.0,0.03533071652054787,0.03533071652054787,0.04367292299866676,0.04367292299866676,0.04376625151874123,0.04376625151874123,0.8072583675384521,0.918528603652346,0.918528603652346,0.04754561185836792,1e-06,6.563469886779785,0.9464920210740113,0.03961594739575766,0.10729961333917686,0.12225561856729655,0.06770937957903488,10,50,10,10,0.001,0.019207804175961407,0.7732440753050525,0.0075194740147927815,0.9112295571204394
0,4,2,8000,64,0.3,1.0,0.75,0.3,0.7,1241,0.873,0.8395,0.017478089779615402,0.0,0.9725168943405151,0.0,0.5,0.11687703430652618,0.5,0.2917497456073761,0.2917497456073761,0.05172394588589668,0.05172394588589668,0.7822696901401184,0.7822696901401184,0.3729518949985504,0.282508399373102,0.282508399373102,0.18308717012405396,1e-06,6.743391513824463,0.9227827537923947,0.04033827061485154,0.10862009642186075,0.07678095630761303,0.04181335639780362,19,41,19,19,0.001,0.004290696072183329,0.9479955793194437,0.001770638625033866,0.9785393711462188
0,5,2,8000,64,0.3,1.0,0.75,0.3,0.7,1380,0.8755,0.879,0.03159276768565178,0.0,0.8944165706634521,0.0,0.0,0.6435208320617676,0.0,0.01719621755182743,0.01719621755182743,0.04768390581011772,0.04768390581011772,0.022803062131464397,0.022803062131464397,0.7541177868843079,0.27538951928626854,0.27538951928626854,0.17314976453781128,1e-06,5.974771976470947,0.9551996305443291,0.04314795950180819,0.09962434666124313,0.1833586613190478,0.10371711037172394,5,55,5,5,0.001,0.02171587684159632,0.7443679267225604,0.003341803565128734,0.9606614008694571
0,6,2,8000,64,0.3,1.0,0.75,0.3,0.7,1376,0.881,0.8825,0.030975867062807083,0.5,0.01629534363746643,0.5,0.0,0.5206736326217651,0.0,0.16918514668941498,0.16918514668941498,0.06824058294296265,0.06824058294296265,0.29544569546777827,0.29544569546777827,0.5726428031921387,12.933497619628993,12.933497619628993,0.005275266710668802,1e-06,6.187114238739014,0.9842899802500479,0.03738190226000378,0.09818551791754924,0.14580239738172832,0.0813421952162411,23,37,23,23,0.001,0.0032506826698101314,0.9609885119689365,0.0023460851919232814,0.9718445989100757
0,7,2,8000,64,0.3,1.0,0.75,0.3,0.7,1222,0.873,0.8815,0.015433046035468578,0.5,0.015840113162994385,0.5,0.0,0.7012139558792114,0.0,0.0,0.0,0.01681019365787506,0.01681019365787506,0.0,0.0,0.8430790901184082,0.3338252808736956,0.3338252808736956,0.05035526305437088,1e-06,6.917139053344727,0.9225773720988267,0.032300508997200036,0.07156463117097393,0.04028044533767737,0.02161220962732612,0,60,0,0,0.001,0.08356848399624645,-0.0006987252596428739,0.08356848399624645,-0.0006987252596428739
0,8,2,8000,64,0.3,1.0,0.75,0.3,0.7,1295,0.883,0.883,0.01702866703271866,0.0,0.9375097751617432,0.0,0.0,0.5243611335754395,0.0,0.01748100109398365,0.01748100109398365,0.0811995267868042,0.0811995267868042,0.019485642457968792,0.019485642457968792,0.8971211314201355,1.383488971866307,1.383488971866307,0.05869084969162941,1e-06,6.211558818817139,0.9018586207067129,0.027337001837640453,0.06145627570918768,0.0760932270141545,0.04135060137211472,3,57,3,3,0.001,0.0606406986965272,0.29345190180445857,0.04074004196406704,0.5253221056345352
0,9,2,8000,64,0.3,1.0,0.75,0.3,0.7,1329,0.8785,0.878,0.02061566337943077,0.0,0.9212731122970581,0.0,0.0,0.5239659547805786,0.0,0.28927597403526306,0.28927597403526306,0.047299642115831375,0.047299642115831375,0.8180445598909171,0.8180445598909171,0.3536178469657898,0.4116916818216903,0.4116916818216903,0.11488993465900421,1e-06,6.4658918380737305,0.9268852723692974,0.03124719502715349,0.07913975561546618,0.08835575066499492,0.04829671149362519,14,46,14,14,0.001,0.001984048528119409,0.9766664312055339,0.004296261425470769,0.9494734578769335
0,10,2,8000,64,0.3,1.0,0.75,0.3,0.7,1420,0.882,0.882,0.024476759135723114,0.5,0.00438845157623291,0.5,0.0,0.4766685366630554,0.0,0.06990491598844528,0.06990491598844528,0.039027079939842224,0.039027079939842224,0.11945591200558099,0.11945591200558099,0.5851932764053345,0.8177471890152775,0.8177471890152775,0.04772411659359932,1e-06,5.7932634353637695,0.9390424689270966,0.03093491694897616,0.07161807740130567,0.1186686637493079,0.06560437188320717,4,56,4,4,0.001,0.018799158472713115,0.7690377414688576,0.04286711791746249,0.4733441720112773
