scenario,seed,k_known,n,r,sigma_x,d_max,R_task,p_lo,p_hi,F_keep_n,bb_acc,cbm_acc,cbm_mse,F_frac_best_abs_negative,F_mean_best_abs_signed,F_frac_margin_negative,E_frac_best_abs_negative,E_mean_best_abs_signed,E_frac_margin_negative,F_pair_raw_mean,F_pair_raw_max,E_pair_raw_mean,E_pair_raw_max,F_pair_soft_mean,F_pair_soft_max,F_mean_abs_Z,E_pair_soft_mean,E_pair_soft_max,E_mean_abs_Z,pair_soft_eps,S_frob_abs,S_frob_rel,Cov_frob_abs,Cov_frob_rel,Corr_frob_abs,Corr_frob_rel
0,1,2,8000,64,0.3,1,0.75,0.4,0.6,564,0.8845,0.886,0.0337795056402683,0,0.945814609527588,0,0,0.523912370204926,0,0.0429734848439693,0.0429734848439693,0.049380861222744,0.049380861222744,0.0609300379405282,0.0609300379405282,0.705291271209717,0.510138551476163,0.510138551476163,0.0967979207634926,0.000001,6.8753924369812,0.982329137836195,0.0277944145871477,0.0686198948364402,0.102588846559697,0.0563650640306301
0,2,2,8000,64,0.3,1,0.75,0.4,0.6,742,0.8875,0.884,0.0264759380370379,0.5,-0.00859996676445007,0.5,0,0.477029830217361,0,0.0320738293230534,0.0320738293230534,0.0515163987874985,0.0515163987874985,0.035050691368208,0.035050691368208,0.915068805217743,4.52737198236457,4.52737198236457,0.0113778747618198,0.000001,6.4238920211792,0.959156248124263,0.0423885210146924,0.104925501078026,0.17477369460242,0.0984704363402912
0,3,2,8000,64,0.3,1,0.75,0.4,0.6,832,0.873,0.5335,0.02993218973279,0,0.968955874443054,0,0,0.423497498035431,0,0.132103338837624,0.132103338837624,0.0436729229986668,0.0436729229986668,0.195431999283562,0.195431999283562,0.675954520702362,0.918528603652346,0.918528603652346,0.0475456118583679,0.000001,6.94963359832764,0.962244366543344,0.0396159473957577,0.107299613339177,0.122255618567297,0.0677093795790349
0,4,2,8000,64,0.3,1,0.75,0.4,0.6,900,0.873,0.8395,0.0174780897796154,0,0.95762038230896,0,0.5,0.116877034306526,0.5,0.229402437806129,0.229402437806129,0.0517239458858967,0.0517239458858967,0.481274167482363,0.481274167482363,0.476655453443527,0.282508399373102,0.282508399373102,0.183087170124054,0.000001,6.69912242889404,0.934365277266188,0.0403382706148515,0.108620096421861,0.076780956307613,0.0418133563978036
0,5,2,8000,64,0.3,1,0.75,0.4,0.6,991,0.8755,0.879,0.0315927676856518,0,0.828494727611542,0,0,0.643520832061768,0,0.0148734617978334,0.0148734617978334,0.0476839058101177,0.0476839058101177,0.0250709711407529,0.0250709711407529,0.593253314495087,0.275389519286269,0.275389519286269,0.173149764537811,0.000001,5.12616300582886,0.964778193800612,0.0431479595018082,0.0996243466612431,0.183358661319048,0.103717110371724
0,6,2,8000,64,0.3,1,0.75,0.4,0.6,916,0.881,0.8825,0.0309758670628071,0.5,0.00982418656349182,0.5,0,0.520673632621765,0,0.112360902130604,0.112360902130604,0.0682405829429627,0.0682405829429627,0.156786731555597,0.156786731555597,0.716647028923035,12.933497619629,12.933497619629,0.0052752667106688,0.000001,6.90077304840088,0.997799004722243,0.0373819022600038,0.0981855179175492,0.145802397381728,0.0813421952162411
0,7,2,8000,64,0.3,1,0.75,0.4,0.6,808,0.873,0.8815,0.0154330460354686,0.5,0.0165365040302277,0.5,0,0.701213955879211,0,0.0498897545039654,0.0498897545039654,0.0168101936578751,0.0168101936578751,0.0642808426852831,0.0642808426852831,0.776120662689209,0.333825280873696,0.333825280873696,0.0503552630543709,0.000001,6.71409797668457,0.92910456600253,0.0323005089972,0.0715646311709739,0.0402804453376774,0.0216122096273261
0,8,2,8000,64,0.3,1,0.75,0.4,0.6,560,0.883,0.883,0.0170286670327187,0,0.953687429428101,0,0,0.52436113357544,0,0,0,0.0811995267868042,0.0811995267868042,0,0,0.947928428649902,1.38348897186631,1.38348897186631,0.0586908496916294,0.000001,7.23751640319824,0.946873322848142,0.0273370018376405,0.0614562757091877,0.0760932270141545,0.0413506013721147
0,9,2,8000,64,0.3,1,0.75,0.4,0.6,732,0.8785,0.878,0.0206156633794308,0,0.932106733322144,0,0,0.523965954780579,0,0.292985796928406,0.292985796928406,0.0472996421158314,0.0472996421158314,0.98562062985265,0.98562062985265,0.297259211540222,0.41169168182169,0.41169168182169,0.114889934659004,0.000001,6.37969064712524,0.93383760393579,0.0312471950271535,0.0791397556154662,0.0883557506649949,0.0482967114936252
0,10,2,8000,64,0.3,1,0.75,0.4,0.6,595,0.882,0.882,0.0244767591357231,0.5,-0.141858965158463,0.5,0,0.476668536663055,0,0.241806581616402,0.241806581616402,0.0390270799398422,0.0390270799398422,1.69579470920068,1.69579470920068,0.142590895295143,0.817747189015278,0.817747189015278,0.0477241165935993,0.000001,5.54508543014526,0.960248354064984,0.0309349169489762,0.0716180774013057,0.118668663749308,0.0656043718832072
0,11,2,8000,64,0.3,1,0.75,0.4,0.6,746,0.8695,0.8715,0.0205724146217108,0.5,-0.00457265973091126,0.5,0,0.483685463666916,0,0.101822920143604,0.101822920143604,0.0519577078521252,0.0519577078521252,0.133760294476879,0.133760294476879,0.761233270168304,0.885574872876024,0.885574872876024,0.0586701631546021,0.000001,7.09856176376343,0.930154919152527,0.0222908761573872,0.0536488328086849,0.0976133850327827,0.0534818592601312
