scenario,seed,k_known,n,r,sigma_x,d_max,R_task,p_lo,p_hi,F_keep_n,bb_acc,cbm_acc,cbm_mse,F_frac_best_abs_negative,F_mean_best_abs_signed,F_frac_margin_negative,E_frac_best_abs_negative,E_mean_best_abs_signed,E_frac_margin_negative,F_pair_raw_mean,F_pair_raw_max,E_pair_raw_mean,E_pair_raw_max,F_pair_soft_mean,F_pair_soft_max,F_mean_abs_Z,E_pair_soft_mean,E_pair_soft_max,E_mean_abs_Z,pair_soft_eps,S_frob_abs,S_frob_rel,Cov_frob_abs,Cov_frob_rel,Corr_frob_abs,Corr_frob_rel
0,1,2,8000,64,0.3,1,0.75,0.1,0.9,2067,0.8845,0.886,0.0337795056402683,0.5,-0.00756433606147766,0.5,0,0.523912370204926,0,0.0404173396527767,0.0404173396527767,0.049380861222744,0.049380861222744,0.0501520631583995,0.0501520631583995,0.80589485168457,0.510138551476163,0.510138551476163,0.0967979207634926,0.000001,6.43384027481079,0.953441578199609,0.0277944145871477,0.0686198948364402,0.102588846559697,0.0563650640306301
0,2,2,8000,64,0.3,1,0.75,0.1,0.9,2036,0.8875,0.884,0.0264759380370379,0,0.960007607936859,0,0,0.477029830217361,0,0.115929037332535,0.115929037332535,0.0515163987874985,0.0515163987874985,0.164855726019073,0.164855726019073,0.703214108943939,4.52737198236457,4.52737198236457,0.0113778747618198,0.000001,6.5466890335083,0.941943303383173,0.0423885210146924,0.104925501078026,0.17477369460242,0.0984704363402912
0,3,2,8000,64,0.3,1,0.75,0.1,0.9,2096,0.873,0.5335,0.02993218973279,0,0.966980814933777,0,0,0.423497498035431,0,0.00342136528342962,0.00342136528342962,0.0436729229986668,0.0436729229986668,0.00379536467112682,0.00379536467112682,0.901457905769348,0.918528603652346,0.918528603652346,0.0475456118583679,0.000001,6.55741453170776,0.934241263534138,0.0396159473957577,0.107299613339177,0.122255618567297,0.0677093795790349
0,4,2,8000,64,0.3,1,0.75,0.1,0.9,2037,0.873,0.8395,0.0174780897796154,0,0.984210848808289,0,0.5,0.116877034306526,0.5,0.336833238601685,0.336833238601685,0.0517239458858967,0.0517239458858967,1.14875997856319,1.14875997856319,0.29321363568306,0.282508399373102,0.282508399373102,0.183087170124054,0.000001,6.8784761428833,0.920790332359176,0.0403382706148515,0.108620096421861,0.076780956307613,0.0418133563978036
0,5,2,8000,64,0.3,1,0.75,0.1,0.9,2062,0.8755,0.879,0.0315927676856518,0,0.943839073181152,0,0,0.643520832061768,0,0.0154639128595591,0.0154639128595591,0.0476839058101177,0.0476839058101177,0.0179894281660158,0.0179894281660158,0.859610140323639,0.275389519286269,0.275389519286269,0.173149764537811,0.000001,6.69265842437744,0.956512956741666,0.0431479595018082,0.0996243466612431,0.183358661319048,0.103717110371724
0,6,2,8000,64,0.3,1,0.75,0.1,0.9,2283,0.881,0.8825,0.0309758670628071,0.5,0.020018607378006,0.5,0,0.520673632621765,0,0.330837070941925,0.330837070941925,0.0682405829429627,0.0682405829429627,1.34544897679672,1.34544897679672,0.245892435312271,12.933497619629,12.933497619629,0.0052752667106688,0.000001,5.96654319763184,0.961082701860272,0.0373819022600038,0.0981855179175492,0.145802397381728,0.0813421952162411
0,7,2,8000,64,0.3,1,0.75,0.1,0.9,1987,0.873,0.8815,0.0154330460354686,0.5,0.00579336285591126,0.5,0,0.701213955879211,0,0,0,0.0168101936578751,0.0168101936578751,0,0,0.896775484085083,0.333825280873696,0.333825280873696,0.0503552630543709,0.000001,7.19725561141968,0.925653936077999,0.0323005089972,0.0715646311709739,0.0402804453376774,0.0216122096273261
0,8,2,8000,64,0.3,1,0.75,0.1,0.9,2024,0.883,0.883,0.0170286670327187,0,0.963555216789246,0,0,0.52436113357544,0,0.0253947470337152,0.0253947470337152,0.0811995267868042,0.0811995267868042,0.0291887207722934,0.0291887207722934,0.870018184185028,1.38348897186631,1.38348897186631,0.0586908496916294,0.000001,6.31355142593384,0.891743840588759,0.0273370018376405,0.0614562757091877,0.0760932270141545,0.0413506013721147
0,9,2,8000,64,0.3,1,0.75,0.1,0.9,2202,0.8785,0.878,0.0206156633794308,0.5,-0.0191190838813782,0.5,0,0.523965954780579,0,0.174623727798462,0.174623727798462,0.0472996421158314,0.0472996421158314,0.291723355909984,0.291723355909984,0.598592579364777,0.41169168182169,0.41169168182169,0.114889934659004,0.000001,6.99237537384033,0.93388010642244,0.0312471950271535,0.0791397556154662,0.0883557506649949,0.0482967114936252
0,10,2,8000,64,0.3,1,0.75,0.1,0.9,2244,0.882,0.882,0.0244767591357231,0,0.924787878990173,0,0,0.476668536663055,0,0.00564169185236096,0.00564169185236096,0.0390270799398422,0.0390270799398422,0.00759878053483967,0.00759878053483967,0.742446005344391,0.817747189015278,0.817747189015278,0.0477241165935993,0.000001,6.90373611450195,0.95126713440088,0.0309349169489762,0.0716180774013057,0.118668663749308,0.0656043718832072
